game_timer,possession_clock,ball_x,ball_y,ball_radius,player_1_x,player_1_y,player_2_x,player_2_y,player_3_x,player_3_y,player_4_x,player_4_y,player_5_x,player_5_y,player_6_x,player_6_y,player_7_x,player_7_y,player_8_x,player_8_y,player_9_x,player_9_y,player_10_x,player_10_y
710.4200,11.5100,31.0837,37.3386,2.0023,16.4771,13.1487,7.4963,16.5934,29.6803,36.9547,5.1668,30.3458,23.8657,37.8228,12.6429,19.7010,6.9404,18.6999,26.2125,35.8497,17.3637,34.6010,8.4799,32.5348
710.3800,11.4800,31.3471,37.0189,2.6382,16.3538,13.1665,7.4679,16.7519,30.0105,36.4888,4.9055,29.8359,23.9013,37.8603,12.6974,19.6498,6.9023,18.7483,26.4117,35.4003,17.4068,34.7514,8.2393,32.1661
710.3400,11.4600,31.6587,36.6725,3.0541,16.2292,13.1869,7.4424,16.9086,30.3094,36.0020,4.6507,29.3052,23.9354,37.8856,12.7521,19.5999,6.8813,18.8196,26.5958,34.9418,17.4455,34.8511,8.0172,31.8353
710.3000,11.4400,31.9068,36.1895,3.4759,16.1013,13.2041,7.4217,17.0570,30.5936,35.5201,4.3989,28.7172,23.9769,37.9168,12.8022,19.5471,6.8708,18.8976,26.7696,34.4941,17.4783,34.9029,7.8019,31.5203
710.2600,11.4100,32.2028,35.7825,3.7470,15.9707,13.2173,7.4141,17.2020,30.8372,35.0337,4.1956,28.2010,24.0177,37.9656,12.8535,19.4979,6.8771,18.9872,26.9322,34.0485,17.5079,35.0127,7.6026,31.1165
710.2200,11.3900,32.2331,35.1884,3.8426,15.8420,13.2343,7.3957,17.3075,31.0730,34.5871,4.0119,27.6340,24.0488,37.9876,12.8798,19.4061,6.8833,19.0767,27.0706,33.6125,17.5355,35.1269,7.4118,30.6915
710.1800,11.3700,32.5812,34.6577,3.9736,15.7080,13.2454,7.3719,17.4096,31.3775,34.1174,3.8595,27.0748,24.0838,37.9800,12.8852,19.2578,6.8997,19.1954,27.2035,33.1721,17.5588,35.2437,7.2146,30.2756
710.1400,11.3400,32.8685,33.9739,4.1558,15.5686,13.2514,7.3277,17.4531,31.6079,33.6031,3.7196,26.4854,24.1235,37.9422,12.8881,19.1346,6.9297,19.3100,27.3277,32.7225,17.5733,35.3569,7.0621,29.8840
710.1000,11.3200,32.9147,33.1975,3.9817,15.4308,13.2576,7.2832,17.4852,31.8278,33.0919,3.5844,25.8537,24.1541,37.9380,12.8790,19.0159,6.9824,19.4393,27.4541,32.2866,17.5788,35.4639,6.9213,29.5397
710.0600,11.3000,33.0627,32.3909,3.8099,15.2892,13.2684,7.2536,17.4843,31.9789,32.5742,3.4524,25.1978,24.1349,37.9235,12.8694,18.9548,7.0408,19.5712,27.5812,31.8411,17.5750,35.5591,6.7897,29.1856
